id,graduacao,universidade,profissao,organizacao,pretende_fazer_cursos_lit,interesse_mba_lit,importante_ter_certificado,horas_semanais_estudo,como_conheceu_lit,total_modulos,modulos_iniciados,modulos_finalizados,certificados,target
648443203,Bacharelado,Unesp,Outros,Borracha,0,0,1,3,Saint Paul,58,3,2,0,perfil6
423266690,Especialização,UNICAMP,SEM EXPERIÊNCIA,Eletrodomesticos,1,1,1,7,Mídia (revista/jornal/web),62,19,17,0,perfil3
315097368,Bacharelado,UNICAMP,Engenheiro,Oleo e Gas,0,0,1,9,Google,36,3,1,0,perfil6
911835279,Licenciatura,UNICAMP,Outros,Estado,1,1,1,9,Google,145,61,54,1,perfil1
755852400,Especialização,FACULDADE ANHANGUERA,Engenheiro,Entretenimento,0,0,1,8,Minha empresa - benefício LITpass,33,33,29,0,perfil2
792982630,SEM FORMAÇÃO,Escola Paulista de Direito,SEM EXPERIÊNCIA,Borracha,0,0,1,3,Outros,29,13,11,0,perfil4
303596704,Tecnólogo,INSPER INSTITUTO DE ENSINO E PESQUISA,SEM EXPERIÊNCIA,Eletroeletronicos,0,0,1,8,Linkedin,521,190,160,1,perfil1
448837351,Bacharelado,UNIVERSIDADE CRUZEIRO DO SUL,Diretor,Estado,0,0,1,4,Google,10,10,10,0,perfil4
183567948,Bacharelado,FACULDADE ANHANGUERA,Analista,Estado,0,0,1,10,Instagram,27,22,17,0,perfil3
800655798,MBA,FATEC,SEM EXPERIÊNCIA,Entretenimento,1,1,1,7,Saint Paul,10,8,6,0,perfil5
528578522,MBA,UFRJ,Engenheiro,Laminados,1,1,1,9,Linkedin,27,16,10,0,perfil4
242888309,Bacharelado,UNICAMP,Analista Senior,Oleo e Gas,0,0,1,7,YouTube,79,33,31,1,perfil1
465086324,Bacharelado,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Sócio/Dono/Proprietário,Borracha,1,1,1,4,Saint Paul,30,14,11,0,perfil4
722141638,Tecnólogo,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,SEM EXPERIÊNCIA,Siderurgica,0,0,1,8,Outros,29,25,25,0,perfil2
481209236,Bacharelado,UFRJ,Sócio/Dono/Proprietário,Montadora,1,1,1,7,YouTube,27,11,8,0,perfil4
744471285,Licenciatura,Escola Paulista de Direito,Gerente,Estado,1,1,1,2,Minha empresa - benefício LITpass,61,9,4,0,perfil6
854934250,Bacharelado,UNIVERSIDADE CRUZEIRO DO SUL,Engenheiro,Siderurgica,1,1,1,2,Mídia (revista/jornal/web),61,27,9,0,perfil4
771505780,MBA,UNICAMP,Supervisor,Entretenimento,1,1,1,4,Mídia (revista/jornal/web),23,23,23,0,perfil2
776733151,SEM FORMAÇÃO,UNIVERSIDADE NOVE DE JULHO,Analista Senior,servicos,0,0,1,10,Linkedin,71,56,55,0,perfil2
898827119,Bacharelado,Universidade Metodista de Sao Paulo,Advogado,Montadora,0,0,1,5,Facebook,33,4,1,0,perfil6
851035152,Licenciatura,UNIP,Assessor,servicos,0,0,1,10,Linkedin,59,59,59,2,perfil1
650147642,Tecnólogo,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Coordenador,Montadora,1,1,1,6,Outros,13,13,12,0,perfil4
838482963,SEM FORMAÇÃO,UFF,Sócio/Dono/Proprietário,Laminados,1,1,1,3,Mídia (revista/jornal/web),116,47,38,0,perfil2
567606117,Licenciatura,UNIVERSIDADE CRUZEIRO DO SUL,Diretor,Borracha,0,0,1,5,Outros,29,10,8,0,perfil4
830462479,MBA,UFSCar,Supervisor,Eletroeletronicos,1,1,1,7,Outros,77,20,14,0,perfil4
766780870,Tecnólogo,UFF,Diretor,e-commerce,0,0,1,5,Mídia (revista/jornal/web),194,99,82,0,perfil2
224279890,MBA,UFF,SEM EXPERIÊNCIA,Estado,0,0,1,6,Mídia (revista/jornal/web),10,10,10,0,perfil4
903866569,Especialização,FATEC,Coordenador,Oleo e Gas,1,1,1,7,Linkedin,77,22,14,0,perfil3
